         11929346 function calls (11503602 primitive calls) in 10.075 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    26326    0.009    0.000    0.030    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\dtypes.py:188(__ne__)
40193/33021    0.009    0.000    0.088    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\abc.py:100(__subclasscheck__)
    37302    0.009    0.000    0.009    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:1377(graph)
    12827    0.009    0.000    0.019    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:1320(shape)
      598    0.009    0.000    4.348    0.007 L:\My Drive\Class\semester 2\IE 5080\code\chess_organized\chessrl.py:249(max_Qa)
    12986    0.008    0.000    0.190    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\ops\math_ops.py:544(subtract)
    18396    0.008    0.000    0.040    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:6001(executing_eagerly_outside_functions)
12739/135    0.008    0.000    0.128    0.001 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\ast.py:403(visit)
     8929    0.008    0.000    0.008    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\chess\__init__.py:667(attacks_mask)
     1613    0.008    0.000    0.008    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_SetAttrValueProto}
83575/83563    0.008    0.000    0.008    0.000 {built-in method builtins.len}
    26688    0.008    0.000    0.010    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\chess\__init__.py:49(piece_symbol)
       45    0.008    0.000    0.008    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_GraphToFunction_wrapper}
      781    0.008    0.000    0.056    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:1960(_create_c_op)
      446    0.008    0.000    0.417    0.001 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\eager\function.py:454(call)
    12576    0.008    0.000    0.033    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:1167(__len__)
        3    0.007    0.002    0.014    0.005 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\lib\io\file_io.py:97(write)
    13636    0.007    0.000    0.011    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\tensor_shape.py:761(__init__)
      400    0.007    0.000    3.351    0.008 L:\My Drive\Class\semester 2\IE 5080\code\chess_organized\chessrl.py:226(set_Q)
        2    0.007    0.004    0.007    0.004 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\lib\io\file_io.py:71(_preread_check)
    45546    0.007    0.000    0.007    0.000 {method 'index' of 'list' objects}
      781    0.007    0.000    0.014    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:1933(_NodeDef)
        1    0.007    0.007    9.446    9.446 L:\My Drive\Class\semester 2\IE 5080\code\chess_organized\chessrl.py:262(q_learning)
     5151    0.007    0.000    0.009    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\_collections_abc.py:848(__iter__)
    37570    0.007    0.000    0.009    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\ast.py:244(iter_fields)
    11678    0.007    0.000    0.007    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_OperationOpType}
        2    0.006    0.003    0.006    0.003 {built-in method tensorflow.python.client._pywrap_tf_session.TF_GraphImportGraphDefWithResults}
    18066    0.006    0.000    0.012    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\autograph\pyct\anno.py:130(hasanno)
        3    0.006    0.002    0.006    0.002 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\lib\io\file_io.py:79(_prewrite_check)
     6148    0.006    0.000    0.008    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\chess\__init__.py:2974(is_castling)
    39911    0.006    0.000    0.006    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\chess\__init__.py:473(__bool__)
      781    0.006    0.000    0.154    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\framework\ops.py:3717(_create_op_internal)
 2841/137    0.006    0.000    0.017    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\tensorflow\python\autograph\pyct\ast_util.py:33(copy)
        8    0.006    0.001    0.006    0.001 {built-in method io.open_code}
      837    0.006    0.000    0.006    0.000 {built-in method numpy.array}
     2803    0.006    0.000    0.007    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\chess\__init__.py:3261(_slider_blockers)
4749/2938    0.006    0.000    0.020    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\site-packages\keras\engine\base_layer.py:2854(__setattr__)
     6691    0.005    0.000    0.007    0.000 C:\Users\Simanta\AppData\Local\Programs\Python\Python39\lib\contextlib.py:86(__init__)
28571/22488    0.005    0.000    0.008    0.000 {built-in method builtins.hash}
      111    0.005    0.000    0.005    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_GraphCopyFunction}
    64675    0.005    0.000    0.005    0.000 {method 'bit_length' of 'int' objects}
     5431    0.005    0.000    0.005    0.000 {method 'match' of 're.Pattern' objects}
